30,3169.72
32,2965.14
40,2384.72
48,1981.48
50,1919.13
60,1599.77
75,1310.84
80,1230.22
96,1046.52
100,1008.92
120,874.321
125,859.134
150,722.806
160,677.427
200,627.252
240,524.375
250,499.963
300,435.208
375,350.361
400,330.527
480,279.01
500,269.429
600,230.223
625,222.289
750,190.304
800,180.728
1000,151.535
1200,132.134
1250,128.484
1500,115.855
1875,100.19
2000,95.464
2400,85.171
2500,83.294
3000,76.019
3750,66.548
4000,64.347
5000,58.612
6000,55.197
7500,51.084
10000,47.201
12000,45.288
15000,42.955
20000,42.071
30000,39.801
60000,38.351
